Analysis,CPU Limit,MEMORY Limit,Loading Time,DFG Calculation Time,Total Time
pm4py,0.5,1536m,25.928387020000052,26.618281308999943,52.546668329
pm4py,0.5,2048m,25.878425095999997,24.028158631,49.906583727
pm4py,0.5,2560m,25.77429489099995,24.409046534000026,50.18334142499998
pm4py,0.5,3072m,25.500638640000034,24.32598862000009,49.826627260000116
pm4py,0.5,3584m,25.326822001999968,23.460228079999986,48.78705008199995
pm4py,0.5,4096m,25.381470657000136,23.442768457000057,48.82423911400018
pm4py,1.0,1536m,18.010294262999988,14.346041248000006,32.356335511
pm4py,1.0,2048m,17.978186692000012,11.689553696000075,29.667740388000087
pm4py,1.0,2560m,17.727819840999924,11.40247000699992,29.130289847999848
pm4py,1.0,3072m,17.808851657000105,11.476101663000007,29.284953320000113
pm4py,1.0,3584m,18.242778519999774,11.64497951300018,29.887758032999955
pm4py,1.0,4096m,17.923998172999745,11.435008232000198,29.35900640499995
pm4py,1.5,1536m,18.055060852,14.142201879000027,32.197262731000016
pm4py,1.5,2048m,17.99484906299995,11.855740161000085,29.85058922400003
pm4py,1.5,2560m,17.857943691999935,11.346094437999911,29.204038129999844
pm4py,1.5,3072m,17.889508573000054,11.35328080599993,29.242789378999987
pm4py,1.5,3584m,17.800791992000086,11.310927613999866,29.11171960599995
pm4py,1.5,4096m,17.822920172000067,11.347092770000017,29.170012942000085
pm4py,2.0,1536m,18.920515090999967,14.359045186000008,33.279560276999966
pm4py,2.0,2048m,18.033075833999874,11.554643376000055,29.58771920999993
pm4py,2.0,2560m,18.042199968999967,11.381866539999919,29.424066508999893
pm4py,2.0,3072m,17.875843888999952,11.277222314000028,29.153066202999984
pm4py,2.0,3584m,17.79619806199981,11.227662093000164,29.023860154999966
pm4py,2.0,4096m,17.945931132999704,11.330408083000293,29.276339216
pm4py,2.5,1536m,19.237397884000014,14.925658875999998,34.16305676000002
pm4py,2.5,2048m,20.54458407800007,13.367620517999967,33.91220459600004
pm4py,2.5,2560m,17.615954816,11.438068804999945,29.054023620999946
pm4py,2.5,3072m,17.65642016699985,11.563531327999954,29.219951494999805
pm4py,2.5,3584m,17.62954179899998,11.299140248999946,28.92868204799993
pm4py,2.5,4096m,17.701214829000033,11.37023497899986,29.071449807999894
pm4py,3.0,1536m,17.855409526000017,14.402805838999994,32.25821536500001
pm4py,3.0,2048m,17.963226824000003,11.537993554999955,29.501220378999964
pm4py,3.0,2560m,17.61160881499995,11.590773719000024,29.20238253399998
pm4py,3.0,3072m,17.757380314999864,11.357638002000158,29.115018317000022
pm4py,3.0,3584m,17.848055706000196,11.358912969999892,29.20696867600009
pm4py,3.0,4096m,17.811982342999954,11.340837704000025,29.15282004699997
pm4py,3.5,1536m,17.802192588999958,14.105273761000035,31.90746635
pm4py,3.5,2048m,17.786616138,11.422345313000047,29.20896145100005
pm4py,3.5,2560m,17.731773690999944,11.516073697000135,29.24784738800008
pm4py,3.5,3072m,17.69743547500002,11.421635921000187,29.11907139600021
pm4py,3.5,3584m,17.804773653999973,11.255338248999806,29.060111902999786
pm4py,3.5,4096m,17.601665340999716,11.286709042999973,28.88837438399969
pm4py,4.0,1536m,17.887206970999955,14.243376104000044,32.130583075000004
pm4py,4.0,2048m,17.883873735000066,11.374681838000017,29.258555573000077
pm4py,4.0,2560m,17.69805767999992,11.450607687000005,29.14866536699992
pm4py,4.0,3072m,17.71895691099985,11.26247942100008,28.98143633199993
pm4py,4.0,3584m,17.818754325999862,11.530895916999953,29.349650242999807
pm4py,4.0,4096m,19.175879075999998,11.949863906999779,31.12574298299979
neo4j,0.5,1024m,0,1439.7997627,1439.7997627
neo4j,0.5,1536m,0,1281.2445228,1281.2445228
neo4j,0.5,2048m,0,1116.8493177,1116.8493177
neo4j,0.5,2560m,0,648.7971378999998,648.7971378999998
neo4j,0.5,3072m,0,356.3361209,356.3361209
neo4j,0.5,3584m,0,293.6218399,293.6218399
neo4j,0.5,4096m,0,283.13444669999996,283.13444669999996
neo4j,0.5,512m,0,3513.8881482,3513.8881482
neo4j,1.0,1024m,0,1451.1334515,1451.1334515
neo4j,1.0,1536m,0,1274.4383332,1274.4383332
neo4j,1.0,2048m,0,819.5013475999997,819.5013475999997
neo4j,1.0,2560m,0,613.4727369,613.4727369
neo4j,1.0,3072m,0,250.0488778,250.0488778
neo4j,1.0,3584m,0,220.6014128,220.6014128
neo4j,1.0,4096m,0,161.8440466,161.8440466
neo4j,1.0,512m,0,1645.3684362,1645.3684362
neo4j,1.5,1024m,0,1211.2200468,1211.2200468
neo4j,1.5,1536m,0,1390.9478577,1390.9478577
neo4j,1.5,2048m,0,996.0043436,996.0043436
neo4j,1.5,2560m,0,618.593705,618.593705
neo4j,1.5,3072m,0,238.0994728,238.0994728
neo4j,1.5,3584m,0,171.7504208,171.7504208
neo4j,1.5,4096m,0,150.2585997,150.2585997
neo4j,1.5,512m,0,2048.4241073,2048.4241073
neo4j,2.0,1024m,0,1470.2822275,1470.2822275
neo4j,2.0,1536m,0,1297.1017809999996,1297.1017809999996
neo4j,2.0,2048m,0,976.4289967,976.4289967
neo4j,2.0,2560m,0,591.3858849000002,591.3858849000002
neo4j,2.0,3072m,0,280.01735929999995,280.01735929999995
neo4j,2.0,3584m,0,164.32183799999999,164.32183799999999
neo4j,2.0,4096m,0,164.7037544,164.7037544
neo4j,2.0,512m,0,2063.6479327,2063.6479327
neo4j,2.5,1024m,0,1237.8237592,1237.8237592
neo4j,2.5,1536m,0,1181.6636224,1101.3368276
neo4j,2.5,2048m,0,979.4285931,979.4285931
neo4j,2.5,2560m,0,631.0745185000002,631.0745185000002
neo4j,2.5,3072m,0,226.37276490000002,226.37276490000002
neo4j,2.5,3584m,0,184.4431052,184.4431052
neo4j,2.5,4096m,0,147.2688852,147.2688852
neo4j,2.5,512m,0,2063.7153711,2063.7153711
neo4j,3.0,1024m,0,1447.5791943,1447.5791943
neo4j,3.0,1536m,0,1275.426589,1275.426589
neo4j,3.0,2048m,0,979.4285931,979.4285931
neo4j,3.0,2560m,0,472.8511202,472.8511202
neo4j,3.0,3072m,0,231.9911145,231.9911145
neo4j,3.0,3584m,0,184.0569662,184.0569662
neo4j,3.0,4096m,0,165.57422309999995,165.57422309999995
neo4j,3.0,512m,0,2086.8249414,2086.8249414
neo4j,3.5,1024m,0,1446.3627831,1446.3627831
neo4j,3.5,1536m,0,1329.5616330999999,1329.5616330999999
neo4j,3.5,2048m,0,982.2485688999999,982.2485688999999
neo4j,3.5,2560m,0,661.4799555000002,661.4799555000002
neo4j,3.5,3072m,0,283.5573334,283.5573334
neo4j,3.5,3584m,0,188.8637187,188.8637187
neo4j,3.5,4096m,0,153.62491719999997,153.62491719999997
neo4j,3.5,512m,0,2102.1058942,2102.1058942
neo4j,4.0,1024m,0,1446.4253368,1446.4253368
neo4j,4.0,1536m,0,1343.1577297000001,1343.1577297000001
neo4j,4.0,2048m,0,800.7834095,800.7834095
neo4j,4.0,2560m,0,646.9121017000001,646.9121017000001
neo4j,4.0,3072m,0,195.2241677,195.2241677
neo4j,4.0,3584m,0,185.46525459999998,185.46525459999998
neo4j,4.0,512m,0,2087.5013581000007,2087.5013581000007
neo4j,4.0,4096m,0,148.2066544,148.2066544
